ID_compra,ID_cliente,cidade,uf,regiao,idade,sexo_biologico,cashback,avaliacao_compra
4045,9363,Uberlândia,Minas Gerais,Sudeste,43,Feminino,Não,8
3663,9121,João Pessoa,Paraíba,Nordeste,31,Masculino,Sim,9
5897,3088,Salvador,Bahia,Nordeste,50,Masculino,Não,10
710,2546,Salvador,Bahia,Nordeste,34,Feminino,Sim,10
5452,7127,Curitiba,Paraná,Sul,38,Feminino,Não,8
93,3952,Belo Horizonte,Minas Gerais,Sudeste,31,Masculino,Sim,10
3919,3487,Rio de Janeiro,Rio de Janeiro,Sudeste,32,Masculino,Sim,9
2418,2432,Salvador,Bahia,Nordeste,53,Masculino,Não,10
2684,1960,São Paulo,São Paulo,Sudeste,35,Feminino,Não,9
3920,1800,São Paulo,São Paulo,Sudeste,42,Feminino,Não,4
4909,3598,Brasília,Distrito Federal,Centro-Oeste,28,Masculino,Sim,10
5227,5139,Rio de Janeiro,Rio de Janeiro,Sudeste,37,Masculino,Não,10
2542,5893,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Feminino,Não,10
4006,4096,Belo Horizonte,Minas Gerais,Sudeste,31,Masculino,Sim,9
357,7201,Rio de Janeiro,Rio de Janeiro,Sudeste,41,Feminino,Não,10
5180,2427,Salvador,Bahia,Nordeste,31,Feminino,Sim,10
542,5445,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Masculino,Não,10
496,5375,Rio de Janeiro,Rio de Janeiro,Sudeste,30,Feminino,Não,10
5750,6218,Porto Alegre,Rio Grande do Sul,Sul,26,Masculino,Sim,7
2434,8270,Natal,Rio Grande do Norte,Nordeste,42,Masculino,Não,9
2699,5906,Fortaleza,Ceará,Nordeste,34,Feminino,Sim,6
805,9153,João Pessoa,Paraíba,Nordeste,34,Masculino,Não,8
362,6885,Rio de Janeiro,Rio de Janeiro,Sudeste,42,Feminino,Não,7
2746,3765,Belo Horizonte,Minas Gerais,Sudeste,44,Masculino,Não,9
5814,5658,Porto Alegre,Rio Grande do Sul,Sul,27,Feminino,Não,9
678,4343,Rio de Janeiro,Rio de Janeiro,Sudeste,39,Feminino,Não,9
2961,1237,Rio de Janeiro,Rio de Janeiro,Sudeste,47,Feminino,Não,9
3386,6600,Rio de Janeiro,Rio de Janeiro,Sudeste,26,Feminino,Sim,10
5410,8741,Natal,Rio Grande do Norte,Nordeste,36,Masculino,Sim,10
3097,8377,Rio de Janeiro,Rio de Janeiro,Sudeste,29,Feminino,Sim,10
6105,2773,São Paulo,São Paulo,Sudeste,46,Feminino,Não,7
3516,3148,Brasília,Distrito Federal,Centro-Oeste,34,Masculino,Sim,9
2719,4728,Rio de Janeiro,Rio de Janeiro,Sudeste,35,Feminino,Sim,10
3409,9301,Rio de Janeiro,Rio de Janeiro,Sudeste,38,Feminino,Sim,9
951,8665,Rio de Janeiro,Rio de Janeiro,Sudeste,39,Masculino,Não,10
1531,4322,Rio de Janeiro,Rio de Janeiro,Sudeste,48,Feminino,Não,10
5877,4723,Rio de Janeiro,Rio de Janeiro,Sudeste,30,Masculino,Não,10
1044,1975,São Paulo,São Paulo,Sudeste,42,Feminino,Não,5
189,2292,Rio de Janeiro,Rio de Janeiro,Sudeste,62,Feminino,Não,9
3963,3431,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Feminino,Não,9
1915,2169,Recife,Pernambuco,Nordeste,47,Masculino,Não,4
1798,6221,Porto Alegre,Rio Grande do Sul,Sul,39,Feminino,Sim,9
539,3793,Brasília,Distrito Federal,Centro-Oeste,32,Masculino,Sim,7
2869,9011,Rio de Janeiro,Rio de Janeiro,Sudeste,58,Masculino,Não,8
547,6377,Porto Alegre,Rio Grande do Sul,Sul,43,Masculino,Não,9
2779,9683,Rio de Janeiro,Rio de Janeiro,Sudeste,40,Feminino,Sim,9
5597,3111,Rio de Janeiro,Rio de Janeiro,Sudeste,50,Masculino,Não,9
450,1494,Rio de Janeiro,Rio de Janeiro,Sudeste,51,Feminino,Não,9
243,9279,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Feminino,Não,9
4476,5906,Fortaleza,Ceará,Nordeste,34,Feminino,Sim,8
1340,4709,Brasília,Distrito Federal,Centro-Oeste,55,Feminino,Não,8
4623,8902,Rio de Janeiro,Rio de Janeiro,Sudeste,18,Masculino,Sim,9
2489,8927,Rio de Janeiro,Rio de Janeiro,Sudeste,54,Feminino,Não,9
3946,5096,Rio de Janeiro,Rio de Janeiro,Sudeste,57,Feminino,Não,10
1726,6737,Rio de Janeiro,Rio de Janeiro,Sudeste,31,Masculino,Sim,10
1461,3599,Brasília,Distrito Federal,Centro-Oeste,27,Feminino,Não,9
208,1063,Rio de Janeiro,Rio de Janeiro,Sudeste,27,Masculino,Sim,7
5218,5628,Porto Alegre,Rio Grande do Sul,Sul,37,Feminino,Não,9
5157,8644,Rio de Janeiro,Rio de Janeiro,Sudeste,37,Feminino,Sim,10
3040,9803,Rio de Janeiro,Rio de Janeiro,Sudeste,18,Feminino,Não,8
3964,3774,Rio de Janeiro,Rio de Janeiro,Sudeste,39,Feminino,Não,9
5141,1293,Rio de Janeiro,Rio de Janeiro,Sudeste,18,Feminino,Sim,9
2424,4994,Rio de Janeiro,Rio de Janeiro,Sudeste,35,Feminino,Não,7
3902,3237,Rio de Janeiro,Rio de Janeiro,Sudeste,26,Feminino,Sim,6
2833,1623,São Paulo,São Paulo,Sudeste,51,Masculino,Não,9
988,9990,Rio de Janeiro,Rio de Janeiro,Sudeste,24,Feminino,Sim,9
888,8209,Campinas,São Paulo,Sudeste,29,Feminino,Sim,9
2807,9945,Rio de Janeiro,Rio de Janeiro,Sudeste,45,Feminino,Não,9
3563,8190,Curitiba,Paraná,Sul,41,Feminino,Não,9
401,7740,Rio de Janeiro,Rio de Janeiro,Sudeste,44,Masculino,Não,1
213,7014,Rio de Janeiro,Rio de Janeiro,Sudeste,38,Masculino,Sim,1
1640,7427,Rio de Janeiro,Rio de Janeiro,Sudeste,38,Masculino,Sim,9
1475,6528,Rio de Janeiro,Rio de Janeiro,Sudeste,46,Masculino,Não,10
4423,8500,Rio de Janeiro,Rio de Janeiro,Sudeste,46,Masculino,Não,9
4124,8230,Rio de Janeiro,Rio de Janeiro,Sudeste,35,Feminino,Não,9
1401,3089,Rio de Janeiro,Rio de Janeiro,Sudeste,27,Masculino,Não,6
758,3503,Brasília,Distrito Federal,Centro-Oeste,46,Masculino,Não,7
4302,1258,São Paulo,São Paulo,Sudeste,34,Feminino,Sim,4
4699,9974,Brasília,Distrito Federal,Centro-Oeste,46,Masculino,Não,9
4481,4390,Brasília,Distrito Federal,Centro-Oeste,48,Feminino,Não,6
5419,7150,Brasília,Distrito Federal,Centro-Oeste,36,Feminino,Sim,8
1378,6821,Brasília,Distrito Federal,Centro-Oeste,42,Feminino,Não,9
3860,8477,Brasília,Distrito Federal,Centro-Oeste,34,Feminino,Não,9
3349,1172,Teresina,Piauí,Nordeste,35,Masculino,Não,9
3862,5933,Brasília,Distrito Federal,Centro-Oeste,37,Feminino,Sim,9
3858,7998,Brasília,Distrito Federal,Centro-Oeste,60,Feminino,Não,8
4005,5191,Rio de Janeiro,Rio de Janeiro,Sudeste,35,Feminino,Sim,9
4043,6120,Brasília,Distrito Federal,Centro-Oeste,35,Masculino,Não,3
1280,2495,Brasília,Distrito Federal,Centro-Oeste,39,Masculino,Sim,10
5941,9295,João Pessoa,Paraíba,Nordeste,29,Masculino,Sim,0
5834,9524,João Pessoa,Paraíba,Nordeste,33,Feminino,Não,9
4984,1533,Brasília,Distrito Federal,Centro-Oeste,53,Feminino,Não,10
301,9104,João Pessoa,Paraíba,Nordeste,55,Masculino,Não,9
3846,4094,Belo Horizonte,Minas Gerais,Sudeste,24,Feminino,Sim,5
6055,1212,Brasília,Distrito Federal,Centro-Oeste,33,Feminino,Sim,10
992,5198,Salvador,Bahia,Nordeste,22,Feminino,Não,10
1960,9540,Brasília,Distrito Federal,Centro-Oeste,49,Masculino,Não,9
5548,5536,Fortaleza,Ceará,Nordeste,38,Feminino,Sim,9
1177,3232,Brasília,Distrito Federal,Centro-Oeste,42,Feminino,Não,10
3472,3564,Salvador,Bahia,Nordeste,18,Masculino,Sim,9
370,5580,Porto Alegre,Rio Grande do Sul,Sul,52,Feminino,Não,10
5939,3407,Brasília,Distrito Federal,Centro-Oeste,29,Feminino,Não,9
2354,9582,Brasília,Distrito Federal,Centro-Oeste,24,Feminino,Sim,4
736,2150,Brasília,Distrito Federal,Centro-Oeste,37,Feminino,Sim,10
5978,6708,Brasília,Distrito Federal,Centro-Oeste,43,Feminino,Não,8
4444,7036,Brasília,Distrito Federal,Centro-Oeste,26,Masculino,Não,9
3343,1708,São Paulo,São Paulo,Sudeste,33,Masculino,Sim,8
477,8015,Brasília,Distrito Federal,Centro-Oeste,33,Masculino,Sim,8
90,1772,São Paulo,São Paulo,Sudeste,50,Feminino,Não,9
618,5041,Brasília,Distrito Federal,Centro-Oeste,29,Masculino,Sim,9
753,1226,Brasília,Distrito Federal,Centro-Oeste,49,Feminino,Não,10
965,9951,Recife,Pernambuco,Nordeste,52,Feminino,Não,8
130,9074,Brasília,Distrito Federal,Centro-Oeste,38,Masculino,Não,10
2580,7479,Campinas,São Paulo,Sudeste,35,Feminino,Não,10
3599,2575,Brasília,Distrito Federal,Centro-Oeste,33,Feminino,Sim,10
1150,2258,Recife,Pernambuco,Nordeste,61,Masculino,Não,4
4511,8895,Natal,Rio Grande do Norte,Nordeste,31,Feminino,Não,10
3027,8855,Natal,Rio Grande do Norte,Nordeste,43,Feminino,Não,4
3473,6985,Brasília,Distrito Federal,Centro-Oeste,41,Masculino,Não,0
5050,9970,Brasília,Distrito Federal,Centro-Oeste,32,Masculino,Sim,9
300,9723,João Pessoa,Paraíba,Nordeste,44,Masculino,Não,9
3086,5336,Rio de Janeiro,Rio de Janeiro,Sudeste,33,Masculino,Sim,10
383,3107,Brasília,Distrito Federal,Centro-Oeste,39,Feminino,Sim,9
684,2649,Brasília,Distrito Federal,Centro-Oeste,40,Masculino,Sim,8
112,9768,João Pessoa,Paraíba,Nordeste,41,Feminino,Não,10
1086,7970,Brasília,Distrito Federal,Centro-Oeste,54,Masculino,Não,9
1718,3541,Salvador,Bahia,Nordeste,36,Feminino,Sim,9
4388,8711,Brasília,Distrito Federal,Centro-Oeste,42,Feminino,Não,7
3480,9313,Brasília,Distrito Federal,Centro-Oeste,23,Feminino,Sim,9
610,1556,São Paulo,São Paulo,Sudeste,37,Feminino,Sim,6
5753,2413,São Paulo,São Paulo,Sudeste,23,Masculino,Não,10
2928,1679,Brasília,Distrito Federal,Centro-Oeste,41,Masculino,Não,8
4671,7256,Brasília,Distrito Federal,Centro-Oeste,60,Feminino,Não,10
237,7659,Curitiba,Paraná,Sul,39,Masculino,Sim,9
1449,3189,Brasília,Distrito Federal,Centro-Oeste,32,Masculino,Sim,9
2740,7728,Brasília,Distrito Federal,Centro-Oeste,31,Masculino,Não,8
1354,2382,Brasília,Distrito Federal,Centro-Oeste,35,Feminino,Não,10
163,4248,Brasília,Distrito Federal,Centro-Oeste,20,Masculino,Sim,9
5843,4707,Brasília,Distrito Federal,Centro-Oeste,18,Feminino,Sim,9
3002,5083,Rio de Janeiro,Rio de Janeiro,Sudeste,45,Feminino,Não,10
3302,7972,Brasília,Distrito Federal,Centro-Oeste,42,Masculino,Não,9
4946,6403,Brasília,Distrito Federal,Centro-Oeste,46,Feminino,Não,10
308,8903,Brasília,Distrito Federal,Centro-Oeste,35,Masculino,Sim,7
3640,9308,Brasília,Distrito Federal,Centro-Oeste,37,Feminino,Sim,9
1831,7540,Brasília,Distrito Federal,Centro-Oeste,38,Masculino,Não,10
5517,8026,Brasília,Distrito Federal,Centro-Oeste,47,Feminino,Não,9
4907,4940,Brasília,Distrito Federal,Centro-Oeste,36,Masculino,Não,7
4527,8523,Brasília,Distrito Federal,Centro-Oeste,33,Feminino,Sim,8
5488,9186,Brasília,Distrito Federal,Centro-Oeste,54,Feminino,Não,9
3878,6586,Brasília,Distrito Federal,Centro-Oeste,52,Feminino,Não,9
4337,2297,Brasília,Distrito Federal,Centro-Oeste,30,Masculino,Sim,7
1900,2279,São Paulo,São Paulo,Sudeste,31,Feminino,Não,9
3404,2058,Recife,Pernambuco,Nordeste,29,Masculino,Sim,3
5664,3682,Brasília,Distrito Federal,Centro-Oeste,33,Masculino,Não,10
5805,1832,Brasília,Distrito Federal,Centro-Oeste,42,Feminino,Não,10
2554,3818,Belo Horizonte,Minas Gerais,Sudeste,44,Feminino,Não,10
3548,9983,Brasília,Distrito Federal,Centro-Oeste,57,Feminino,Não,10
5394,5511,Porto Alegre,Rio Grande do Sul,Sul,42,Feminino,Não,10
1221,3811,Salvador,Bahia,Nordeste,34,Masculino,Sim,9
929,3534,Brasília,Distrito Federal,Centro-Oeste,28,Feminino,Sim,5
5385,3012,Salvador,Bahia,Nordeste,45,Feminino,Não,10
299,6722,Brasília,Distrito Federal,Centro-Oeste,41,Masculino,Não,10
3142,5223,Brasília,Distrito Federal,Centro-Oeste,36,Feminino,Sim,9
2905,2277,Recife,Pernambuco,Nordeste,34,Feminino,Sim,10
413,3855,Brasília,Distrito Federal,Centro-Oeste,49,Feminino,Não,9
2499,2389,São Paulo,São Paulo,Sudeste,49,Feminino,Não,10
5122,8966,Curitiba,Paraná,Sul,50,Feminino,Não,8
191,1052,São Paulo,São Paulo,Sudeste,48,Feminino,Não,10
4127,1563,São Paulo,São Paulo,Sudeste,32,Feminino,Não,10
459,7852,Brasília,Distrito Federal,Centro-Oeste,34,Feminino,Não,10
4357,7716,Brasília,Distrito Federal,Centro-Oeste,39,Masculino,Sim,9
3650,7245,Brasília,Distrito Federal,Centro-Oeste,38,Masculino,Sim,9
5463,9481,Brasília,Distrito Federal,Centro-Oeste,19,Masculino,Não,9
2804,3269,Brasília,Distrito Federal,Centro-Oeste,26,Masculino,Sim,7
269,7292,Brasília,Distrito Federal,Centro-Oeste,48,Masculino,Não,9
98,1885,Brasília,Distrito Federal,Centro-Oeste,52,Feminino,Não,9
5013,4503,Brasília,Distrito Federal,Centro-Oeste,36,Masculino,Não,8
5325,9619,Recife,Pernambuco,Nordeste,52,Feminino,Não,9
4196,5633,Fortaleza,Ceará,Nordeste,45,Masculino,Não,9
2471,3083,Brasília,Distrito Federal,Centro-Oeste,46,Feminino,Não,8
4472,5895,Porto Alegre,Rio Grande do Sul,Sul,31,Feminino,Sim,10
3109,8669,Natal,Rio Grande do Norte,Nordeste,44,Masculino,Não,10
2897,5130,Brasília,Distrito Federal,Centro-Oeste,43,Feminino,Não,7
1842,6837,Brasília,Distrito Federal,Centro-Oeste,39,Masculino,Não,9
2104,4864,Rio de Janeiro,Rio de Janeiro,Sudeste,43,Feminino,Não,9
3049,9366,Recife,Pernambuco,Nordeste,55,Feminino,Não,8
1398,1873,São Paulo,São Paulo,Sudeste,31,Masculino,Sim,9
2748,5875,Porto Alegre,Rio Grande do Sul,Sul,24,Feminino,Não,7
177,4079,Brasília,Distrito Federal,Centro-Oeste,34,Masculino,Sim,9
6120,2771,Salvador,Bahia,Nordeste,45,Masculino,Não,7
1589,8742,Natal,Rio Grande do Norte,Nordeste,24,Feminino,Sim,10
5065,8309,Fortaleza,Ceará,Nordeste,40,Feminino,Sim,7
2375,6347,Fortaleza,Ceará,Nordeste,42,Masculino,Não,6
4957,8041,Curitiba,Paraná,Sul,28,Masculino,Sim,1
5589,9047,Fortaleza,Ceará,Nordeste,20,Masculino,Sim,9
2123,4539,Rio de Janeiro,Rio de Janeiro,Sudeste,25,Feminino,Sim,9
3990,6052,Porto Alegre,Rio Grande do Sul,Sul,33,Masculino,Sim,10
4274,6626,Fortaleza,Ceará,Nordeste,53,Masculino,Não,6
441,4119,Fortaleza,Ceará,Nordeste,45,Feminino,Não,8
4679,7738,Fortaleza,Ceará,Nordeste,38,Feminino,Sim,9
1281,6381,Fortaleza,Ceará,Nordeste,39,Feminino,Sim,9
5860,3299,Salvador,Bahia,Nordeste,27,Masculino,Sim,3
2827,5504,Porto Alegre,Rio Grande do Sul,Sul,25,Masculino,Sim,7
1764,1233,São Paulo,São Paulo,Sudeste,46,Masculino,Não,8
3095,1620,Fortaleza,Ceará,Nordeste,27,Masculino,Sim,10
3083,5941,Fortaleza,Ceará,Nordeste,42,Masculino,Não,10
5647,5198,Salvador,Bahia,Nordeste,22,Feminino,Não,7
4195,9547,Fortaleza,Ceará,Nordeste,38,Feminino,Sim,0
2971,6944,Fortaleza,Ceará,Nordeste,49,Feminino,Não,7
544,6728,Fortaleza,Ceará,Nordeste,63,Masculino,Não,9
