Id,area_primeiro_andar,existe_segundo_andar,area_segundo_andar,quantidade_banheiros,capacidade_carros_garagem,qualidade_da_cozinha_Excelente,preco_de_venda
38,120.4913,0,0.0,1,498,0,754290.0
39,98.1953,0,0.0,1,246,0,537370.0
40,107.0208,0,0.0,2,0,0,404260.0
41,122.9996,0,0.0,2,440,0,788800.0
42,123.3712,0,0.0,1,308,0,838100.0
43,82.1236,0,0.0,1,504,0,709920.0
44,87.1402,0,0.0,1,308,0,642132.5
45,106.835,0,0.0,1,300,0,695130.0
46,162.7608,0,0.0,2,576,1,1577107.0
47,141.0222,1,58.6199,1,670,0,1181651.98
48,153.8424,0,0.0,2,826,0,1231021.0
49,68.3744,1,66.5164,2,0,0,557090.0
50,88.7195,0,0.0,1,386,0,626110.0
51,73.76259999999999,1,62.8004,2,388,0,872610.0
52,75.8064,0,0.0,1,528,0,564485.0
53,75.8064,0,0.0,1,516,0,542300.0
55,126.344,0,0.0,1,572,0,640900.0
56,132.3825,0,0.0,2,576,0,889865.0
57,91.3207,1,70.2324,2,480,0,850425.0
58,79.89399999999999,1,79.89399999999999,2,565,0,968745.0
59,132.4754,1,141.11509999999998,3,641,0,2163185.4
60,72.462,0,0.0,1,352,0,615757.0
61,107.5782,0,0.0,1,576,0,778940.0
62,53.9749,1,49.237,1,288,0,497930.0
63,127.273,0,0.0,2,484,0,998325.0
64,83.7958,1,75.0632,2,480,0,690200.0
65,98.1953,1,90.7633,2,645,0,1082135.0
66,106.1847,1,123.557,2,852,0,1562810.0
67,205.0303,0,0.0,2,576,0,887400.0
68,137.3991,0,0.0,2,558,0,1114180.0
69,69.3963,0,0.0,1,220,0,394400.0
70,121.1416,1,91.3207,2,667,0,1109250.0
71,206.5167,0,0.0,2,516,0,1202920.0
72,78.5005,0,0.0,1,360,0,638435.0
73,82.2165,1,77.3857,2,427,0,912050.0
74,100.8894,0,0.0,1,490,0,714357.0
75,78.036,1,71.0685,2,379,0,529482.0
76,48.8654,1,42.9198,1,297,0,448630.0
77,88.4408,0,0.0,1,283,0,669247.5
78,99.5888,1,19.7877,1,240,0,626110.0
79,164.2472,0,0.0,2,0,0,672945.0
80,63.3578,1,50.9092,1,440,0,542300.0
81,109.8078,1,89.184,2,509,0,953955.0
82,124.2073,0,0.0,2,405,0,756755.0
83,145.2027,0,0.0,2,758,0,1207850.0
84,98.9385,0,0.0,1,461,0,623645.0
85,74.6916,1,62.243,2,400,0,830705.0
86,120.8629,1,103.6764,2,462,0,1281800.0
87,63.5436,1,81.3804,2,400,0,857820.0
88,56.8548,1,56.8548,2,528,0,810985.0
89,94.1077,0,0.0,1,0,0,419050.0
90,91.971,0,0.0,1,0,0,609348.0
91,96.616,0,0.0,1,420,0,541807.0
92,114.7315,0,0.0,1,480,0,486098.0
93,89.5556,0,0.0,1,432,0,806055.0
94,117.054,1,95.7799,2,506,0,660127.0
95,84.0745,1,81.8449,2,684,0,1009417.5
96,63.172,1,73.39099999999999,2,420,0,912050.0
97,147.52519999999998,0,0.0,2,472,0,1055020.0
98,89.184,0,0.0,1,432,0,467117.5
99,77.5715,0,0.0,1,366,0,409190.0
100,113.8025,0,0.0,1,0,0,635723.5
101,149.569,0,0.0,2,480,0,1010650.0
102,90.7633,1,70.1395,2,476,0,877540.0
103,142.6015,0,0.0,2,410,0,586492.52
104,113.8954,0,0.0,2,740,0,980577.0
105,113.8954,1,54.9968,1,240,0,835635.0
106,97.8237,1,87.2331,2,648,0,1232500.0
107,97.2663,0,0.0,1,273,0,493000.0
108,73.29809999999999,0,0.0,1,250,0,566950.0
109,92.6213,1,48.308,2,0,0,566950.0
110,171.30759999999998,0,0.0,2,546,0,936700.0
111,112.9664,1,59.3631,2,325,0,674917.0
112,71.9046,1,60.9424,2,400,0,887400.0
113,119.0978,1,131.3606,2,792,1,1892972.1
114,209.8611,0,0.0,2,450,0,1069810.0
115,133.40439999999998,1,82.1236,2,180,0,1279335.0
116,67.72409999999999,1,67.72409999999999,2,440,0,867680.0
117,101.4468,0,0.0,1,288,0,685270.0
118,104.5125,0,0.0,1,430,0,764150.0
119,157.8371,1,141.48669999999998,3,594,0,1577600.0
120,67.63119999999999,1,67.63119999999999,2,390,0,808470.7
121,91.7852,0,0.0,1,540,0,887400.0
122,71.7188,1,32.6079,1,264,0,493000.0
123,100.332,0,0.0,1,288,0,670480.0
124,111.3871,0,0.0,2,530,0,758727.0
125,147.33939999999998,0,0.0,2,435,0,892330.0
126,48.308,0,0.0,1,0,0,416585.0
127,88.9982,0,0.0,2,440,0,631040.0
128,78.036,0,0.0,1,0,0,428910.0
129,61.314,1,63.9152,1,453,0,764150.0
130,97.8237,0,0.0,1,750,1,739500.0
131,112.9664,1,87.4189,2,487,0,1114180.0
132,94.9438,1,95.8728,2,390,0,1202920.0
133,123.2783,0,0.0,1,624,0,743197.5
134,120.3984,0,0.0,2,471,0,1084600.0
135,159.8809,0,0.0,2,440,0,887400.0
136,156.2578,0,0.0,2,530,0,857820.0
137,112.7806,0,0.0,2,318,0,704990.0
138,181.9911,0,0.0,3,766,0,843030.0
139,93.2716,1,78.7792,2,660,0,1133900.0
140,86.21119999999999,1,77.6644,2,470,0,1141295.0
141,80.26559999999999,0,0.0,1,0,0,566950.0
142,161.0886,0,0.0,2,660,0,1281800.0
143,84.539,1,44.1275,2,720,0,818380.0
144,139.4429,0,0.0,2,577,0,1005720.0
145,160.53119999999998,0,0.0,2,504,0,616250.0
146,90.113,1,68.6531,2,380,0,640900.0
147,81.2875,0,0.0,1,180,0,517650.0
148,82.1236,1,106.9279,2,434,0,1096925.0
149,100.332,0,0.0,1,0,0,695130.0
150,83.2384,1,41.6192,1,240,0,566950.0
151,90.0201,0,0.0,1,440,0,601460.0
152,158.85899999999998,0,0.0,2,866,0,1835941.86
153,101.9113,1,83.2384,2,495,0,936700.0
154,116.3108,0,0.0,1,564,0,1158550.0
155,111.48,0,0.0,1,312,0,616250.0
156,53.1388,1,48.6796,1,0,0,389470.0
157,96.616,0,0.0,1,625,0,539835.0
158,71.9046,1,110.9226,2,680,1,1328635.0
159,92.0639,1,88.8124,2,678,0,1256657.0
160,129.3168,1,99.403,2,576,0,1577600.0
161,114.4528,0,0.0,2,516,0,801125.0
162,146.03879999999998,1,101.8184,2,726,1,2033625.0
163,143.1589,0,0.0,2,532,0,1084600.0
164,81.9378,0,0.0,1,0,0,508776.0
165,106.7421,1,43.3843,2,216,0,749360.0
166,75.0632,1,50.8163,2,0,0,628575.0
167,173.4443,0,0.0,1,303,0,936700.0
168,149.569,1,51.1879,1,789,1,1605326.3199999998
169,78.036,1,81.752,2,440,0,904655.0
170,158.5803,0,0.0,2,511,0,1124040.0
171,79.33659999999999,0,0.0,1,660,0,633505.0
172,153.8424,0,0.0,1,528,0,1059950.0
173,98.8456,1,65.3087,2,504,0,1178270.0
174,126.5298,0,0.0,1,504,0,803590.0
175,153.37789999999998,0,0.0,2,616,0,907120.0
176,200.4782,0,0.0,2,576,0,1197990.0
177,108.1356,1,83.2384,2,521,0,1040230.0
178,116.3108,1,62.0572,2,451,0,850425.0
179,207.5386,0,0.0,2,1166,1,2474056.41
180,89.9272,0,0.0,1,480,0,493000.0
181,71.4401,1,70.2324,2,440,0,872610.0
182,83.7029,1,83.7029,1,216,0,986493.0
183,124.486,0,0.0,1,252,0,591600.0
184,126.5298,1,66.88799999999999,2,484,0,986000.0
185,86.95439999999999,1,29.3564,1,576,0,626110.0
186,141.0222,1,141.0222,2,840,1,2341750.0
187,113.0593,0,0.0,2,497,0,852890.0
188,75.0632,1,65.4016,2,180,0,665550.0
189,113.7096,0,0.0,0,528,0,755951.4099999999
190,147.9897,0,0.0,1,682,1,1409980.0
191,143.9021,1,109.4362,2,440,0,1552950.0
192,67.35249999999999,1,70.0466,1,484,0,907120.0
193,132.9399,0,0.0,2,666,0,946560.0
194,90.113,1,68.6531,2,380,0,640900.0
195,80.26559999999999,0,0.0,1,352,0,626110.0
196,79.42949999999999,1,55.8329,2,440,0,732105.0
197,160.34539999999998,0,0.0,2,786,1,1537528.96
198,126.344,1,126.344,2,795,0,1158550.0
199,86.30409999999999,1,86.30409999999999,1,0,0,512720.0
200,159.1377,0,0.0,2,856,1,1355257.0
201,104.1409,0,0.0,2,440,0,690200.0
202,118.8191,0,0.0,2,473,0,845495.0
203,80.35849999999999,1,41.3405,2,398,0,552160.0
204,78.7792,0,0.0,1,420,0,734570.0
205,66.88799999999999,1,52.3956,1,240,0,542300.0
206,133.96179999999998,0,0.0,2,500,0,889865.0
207,157.5584,0,0.0,1,349,0,709427.0
208,102.19,0,0.0,1,312,0,695130.0
209,109.622,1,81.9378,2,454,0,1365610.0
210,101.4468,0,0.0,1,504,0,714850.0
211,80.26559999999999,0,0.0,1,0,0,483140.0
212,112.5948,0,0.0,2,460,0,916980.0
213,86.58279999999999,1,85.468,2,644,0,1245702.54
214,91.971,0,0.0,1,576,0,769080.0
215,64.0081,1,65.3087,1,299,0,797427.5
216,114.8244,0,0.0,1,447,0,662838.5
217,133.40439999999998,0,0.0,2,484,0,1035300.0
218,75.249,1,48.1222,1,210,0,527510.0
219,105.6273,1,75.8993,1,431,0,1535695.0
220,115.9392,0,0.0,2,438,0,824493.2
221,139.1642,0,0.0,2,675,0,1010157.0
222,93.829,1,116.7753,2,390,0,986000.0
223,75.3419,1,68.8389,2,434,0,886907.0
224,80.26559999999999,0,0.0,1,576,0,478210.0
225,222.2168,0,0.0,2,968,1,1904212.5
226,58.527,1,62.4288,2,280,0,552160.0
227,112.7806,1,121.3274,2,721,0,1429700.0
228,44.8707,1,46.8216,1,280,0,522580.0
229,84.7248,0,0.0,1,336,0,616250.0
230,144.4595,0,0.0,2,430,0,949025.0
231,110.9226,0,0.0,1,312,0,729640.0
232,138.421,1,121.1416,2,810,1,1986790.0
233,44.8707,1,46.8216,1,288,0,465885.0
234,83.0526,0,0.0,1,308,0,632026.0
235,79.89399999999999,1,102.19,2,440,0,1067345.0
236,44.8707,1,46.8216,1,264,0,441235.0
237,131.3606,0,0.0,2,494,0,914515.0
238,94.2006,1,67.817,2,457,0,958885.0
239,157.3726,0,0.0,2,818,0,1567740.0
240,74.13419999999999,1,64.0081,1,220,0,557090.0
241,145.4814,0,0.0,2,750,0,1294125.0
242,80.45139999999999,0,0.0,1,0,0,544765.0
243,82.5881,1,51.1879,1,352,0,389470.0
244,58.1554,1,54.9039,1,288,0,591600.0
245,113.5238,1,82.4952,2,463,0,1010650.0
246,173.9088,0,0.0,2,604,0,1190595.0
247,84.3532,1,94.758,2,440,0,675410.0
248,127.7375,0,0.0,1,451,0,690200.0
249,78.036,1,76.9212,2,500,0,887400.0
251,121.3274,0,0.0,1,0,0,377145.0
252,150.9625,0,0.0,2,538,0,1158550.0
253,74.13419999999999,1,78.2218,2,520,0,852890.0
254,120.9558,0,0.0,2,309,0,778940.0
255,122.0706,0,0.0,1,294,0,714850.0
256,93.3645,1,119.4694,2,429,0,1133900.0
257,80.26559999999999,1,80.26559999999999,2,673,0,1022975.0
258,149.0116,0,0.0,2,660,0,1084600.0
259,89.4627,1,77.0141,2,564,0,1141295.0
260,81.9378,0,0.0,1,308,0,478210.0
261,128.3878,0,0.0,1,884,0,867680.0
262,137.6778,1,101.4468,2,868,1,1360680.0
263,112.5948,0,0.0,1,492,0,744430.0
264,86.02539999999999,0,0.0,1,484,0,640900.0
265,70.9756,0,0.0,1,504,0,359890.0
266,132.1038,0,0.0,2,576,0,865215.0
267,74.5058,1,65.8661,2,413,0,912050.0
268,97.7308,1,66.88799999999999,2,240,0,884935.0
269,72.2762,0,0.0,1,924,0,594065.0
270,103.3977,0,0.0,1,504,0,729640.0
271,101.7255,1,78.4076,2,1053,0,1311380.0
272,126.6227,0,0.0,1,439,0,1190595.0
273,108.1356,1,102.7474,2,671,0,1429700.0
274,151.6128,0,0.0,2,338,0,685270.0
275,75.8064,0,0.0,1,264,0,613785.0
276,88.4408,1,55.3684,2,672,1,1010650.0
277,144.924,0,0.0,2,573,0,990930.0
278,80.26559999999999,0,0.0,1,400,0,695130.0
279,197.0409,0,0.0,2,732,1,2047419.14
280,107.3924,1,80.45139999999999,2,505,0,946560.0
281,109.1575,1,74.9703,2,575,0,1126505.0
282,117.2398,0,0.0,2,572,0,912050.0
283,122.0706,0,0.0,2,626,0,1022975.0
284,136.3772,0,0.0,2,898,0,1205878.0
285,146.3175,0,0.0,2,529,0,883456.0
286,58.0625,1,58.0625,2,528,0,811971.0
287,100.7965,1,60.2921,1,440,0,783870.0
288,79.70819999999999,0,0.0,1,0,0,433840.0
289,83.61,0,0.0,1,280,0,601460.0
290,64.8442,1,64.8442,1,384,0,757124.75
291,100.2391,1,78.036,2,685,0,1149823.9
292,86.95439999999999,1,72.462,2,0,0,669987.0
293,106.6492,1,52.7672,1,281,0,645830.0
294,136.3772,1,73.85549999999999,2,539,0,1158550.0
295,152.7276,0,0.0,1,418,0,823310.0
296,93.1787,0,0.0,1,588,0,702525.0
297,84.539,1,60.1992,1,282,0,749360.0
298,90.5775,1,90.5775,2,576,0,1178270.0
299,96.7089,1,65.2158,1,539,0,862750.0
300,107.0208,0,0.0,1,300,0,781405.0
301,124.1144,0,0.0,1,375,0,774010.0
302,112.409,1,115.3818,2,683,0,1316310.0
303,143.1589,0,0.0,2,843,0,1010650.0
304,83.0526,0,0.0,1,552,0,739007.0
305,155.6075,1,168.8922,3,870,0,1454350.0
306,185.8,0,0.0,2,888,0,1508087.0
307,104.2338,1,104.1409,2,746,0,1109250.0
308,96.1515,1,34.4659,1,0,0,441235.0
309,79.98689999999999,0,0.0,1,539,0,406725.0
310,180.5976,0,0.0,2,708,1,1774800.0
311,64.7513,1,74.6916,2,420,0,816408.0
312,90.2988,0,0.0,1,240,0,650760.0
313,73.66969999999999,1,30.1925,1,410,0,591107.0
315,77.2928,1,75.1561,1,546,1,877540.0
316,66.5164,1,66.5164,2,432,0,929305.0
317,107.1137,1,111.48,2,484,1,1281800.0
318,101.0752,1,80.9159,2,1025,0,1331100.0
319,127.4588,1,118.3546,2,656,0,1281800.0
320,136.7488,0,0.0,2,588,0,924375.0
321,116.0321,1,125.1363,3,840,0,1689229.99
322,105.5344,1,123.7428,2,872,0,1745220.0
323,144.2737,1,109.3433,2,576,0,1483930.0
324,108.0427,0,0.0,1,220,0,622042.75
325,176.3242,1,100.332,2,564,0,1193060.0
326,74.5987,0,0.0,1,360,0,428910.0
327,159.6951,0,0.0,1,473,0,1597320.0
328,128.48069999999998,0,0.0,1,292,0,716082.5
329,134.2405,1,64.0081,2,441,0,1057485.0
330,55.3684,1,55.3684,1,189,0,384540.0
331,160.53119999999998,0,0.0,2,352,0,586670.0
332,98.1024,0,0.0,1,308,0,685270.0
333,151.3341,0,0.0,2,880,0,1400120.0
334,126.1582,0,0.0,2,484,0,1020510.0
335,87.6047,1,64.5655,2,472,0,946560.0
337,178.5538,0,0.0,2,676,0,1860710.18
338,142.6944,0,0.0,2,532,0,1055020.0
339,150.5909,0,0.0,2,440,0,998325.0
340,112.8735,0,0.0,1,297,0,764150.0
341,92.2497,1,85.0035,2,431,0,1000297.0
342,78.1289,0,0.0,1,294,0,404260.0
343,96.616,0,0.0,2,400,0,431375.0
344,156.4436,0,0.0,2,564,1,1311380.0
345,49.7944,1,53.5104,1,336,0,419050.0
346,90.2988,1,56.2045,1,312,0,691186.0
347,88.9982,0,0.0,1,301,0,746895.0
348,137.3062,0,0.0,2,498,0,776475.0
349,70.9756,1,80.07979999999999,2,474,0,759220.0
350,171.67919999999998,1,81.752,2,706,1,2155169.22
351,173.6301,0,0.0,2,617,1,1568040.73
352,134.9837,0,0.0,1,445,0,936700.0
353,57.2264,1,45.9855,1,200,0,468350.0
354,66.88799999999999,0,0.0,1,484,0,522087.0
355,110.7368,1,37.4387,1,240,0,690200.0
356,111.48,0,0.0,2,521,0,875075.0
357,108.4143,0,0.0,2,400,0,852890.0
358,106.0918,0,0.0,1,528,0,660620.0
359,125.6008,0,0.0,1,288,0,640900.0
360,100.8894,1,77.8502,2,592,0,1380400.0
361,84.7248,0,0.0,1,470,0,769080.0
362,91.7852,1,48.0293,1,240,0,714850.0
363,45.9855,1,132.5683,3,672,0,978605.0
364,44.8707,1,46.8216,1,264,0,581740.0
365,73.39099999999999,1,72.8336,2,566,0,936700.0
366,62.4288,1,62.4288,1,468,0,724710.0
367,129.5026,0,0.0,1,514,0,783870.0
368,132.9399,0,0.0,1,296,0,813450.0
369,117.7972,0,0.0,1,244,0,650760.0
370,119.5623,0,0.0,1,576,0,798660.0
371,88.5337,1,66.0519,2,460,0,849932.0
372,104.048,1,43.4772,2,680,0,662749.76
373,69.8608,0,0.0,1,264,0,616250.0
374,122.5351,0,0.0,1,270,0,606390.0
375,78.6863,1,100.4249,2,434,0,1082135.0
376,83.9816,0,0.0,0,0,0,300730.0
377,84.9106,0,0.0,1,576,0,729640.0
378,146.78199999999998,1,82.3094,3,610,0,1676200.0
379,172.42239999999998,0,0.0,1,834,1,1944549.76
380,93.5503,1,73.66969999999999,2,463,0,882470.0
381,95.3154,1,61.7785,2,308,0,626110.0
382,120.8629,0,0.0,2,572,0,925607.5
383,87.2331,1,79.70819999999999,2,639,0,1052555.0
384,72.8336,0,0.0,1,360,0,374680.0
386,117.8901,0,0.0,2,430,0,946560.0
387,61.1282,1,48.8654,1,0,0,399330.0
388,104.5125,0,0.0,1,352,0,616250.0
389,137.3991,0,0.0,2,577,0,941630.0
390,161.8318,1,54.811,2,846,1,2100180.0
391,89.2769,1,37.7174,1,384,0,586670.0
392,74.6916,1,107.4853,2,560,0,1059950.0
393,81.9378,0,0.0,1,294,0,525045.0
394,73.20519999999999,0,0.0,1,0,0,493000.0
395,68.2815,1,27.7771,1,240,0,537370.0
396,106.2776,0,0.0,1,596,0,635970.0
397,83.0526,0,0.0,1,600,0,606390.0
398,81.3804,1,86.95439999999999,2,264,0,835635.0
399,100.0533,0,0.0,1,338,0,330310.0
400,103.3048,1,40.6902,2,438,0,1188130.0
401,119.6552,0,0.0,1,500,1,1210315.0
402,121.699,0,0.0,2,400,0,813400.7
403,62.4288,0,0.0,1,240,0,532440.0
404,108.2285,1,102.0042,2,420,0,1271940.0
405,74.8774,1,71.1614,2,373,0,828240.0
406,150.498,0,0.0,2,490,0,739500.0
407,108.3214,0,0.0,1,240,0,566950.0
408,78.036,1,78.036,2,308,0,872610.0
409,99.4959,1,102.2829,2,947,0,1380400.0
410,97.545,1,95.5012,2,836,1,1674967.5
411,118.5404,0,0.0,1,350,0,295800.0
412,98.1024,0,0.0,1,572,0,714850.0
413,137.3062,0,0.0,2,484,0,1094460.0
414,95.5012,0,0.0,1,360,0,566950.0
415,100.332,1,94.4793,2,678,0,1124040.0
416,124.486,0,0.0,2,396,0,892990.62
417,62.4288,1,67.63119999999999,1,440,0,737035.0
418,127.273,1,116.4966,2,864,0,1178270.0
419,70.2324,1,35.1162,1,240,0,621180.0
420,98.1024,0,0.0,1,304,0,700060.0
421,124.8576,0,0.0,2,784,0,1017059.0
422,148.8258,0,0.0,2,529,0,1059950.0
423,91.7852,0,0.0,1,520,0,557090.0
424,136.563,1,107.764,2,696,0,1552950.0
425,111.1084,0,0.0,1,297,0,685270.0
426,65.6803,1,63.3578,1,240,0,665550.0
427,152.7276,0,0.0,2,569,0,1355750.0
428,84.2603,0,0.0,1,352,0,537409.44
429,112.2232,0,0.0,2,628,0,963322.0
430,131.1748,0,0.0,2,576,0,862750.0
431,44.8707,1,46.8216,1,264,0,421022.0
432,101.0752,1,10.219,1,0,0,393907.0
433,71.0685,1,55.74,1,440,0,603925.0
434,86.02539999999999,1,62.9862,2,470,0,892330.0
435,58.527,0,0.0,1,0,0,399330.0
436,76.8283,1,77.4786,2,550,0,1045160.0
437,68.1886,1,35.6736,1,440,0,571880.0
438,83.9816,0,0.0,1,180,0,586670.0
439,64.4726,0,0.0,1,352,0,445425.5
440,63.5436,1,47.5648,1,528,0,542300.0
441,223.1458,0,0.0,2,672,1,2736150.0
442,133.77599999999998,0,0.0,2,0,0,581740.0
443,104.7912,1,41.3405,2,360,0,803097.0
444,116.8682,0,0.0,2,648,0,850425.0
445,86.67569999999999,1,90.5775,2,493,0,1035300.0
446,156.9081,0,0.0,1,480,0,628575.0
447,175.3952,0,0.0,2,578,0,936700.0
448,88.8124,1,86.39699999999999,2,431,0,985507.0
449,72.462,1,55.3684,2,198,0,589135.0
450,63.0791,1,46.8216,1,308,0,591600.0
451,75.5277,0,0.0,1,270,0,542300.0
453,82.4952,1,80.63719999999999,2,422,0,1005720.0
454,73.01939999999999,1,74.6916,2,676,0,1035300.0
455,160.53119999999998,0,0.0,2,560,0,926840.0
456,115.3818,0,0.0,1,528,0,865215.0
457,57.9696,1,66.88799999999999,1,513,0,483140.0
459,77.3857,1,77.3857,1,228,0,793730.0
460,90.9491,1,20.8096,1,352,0,542300.0
461,77.2928,1,102.4687,2,552,0,1298734.5499999998
462,53.4175,1,52.024,1,576,0,764150.0
463,80.26559999999999,0,0.0,1,360,0,307548.19
464,78.8721,1,75.3419,1,240,0,930291.0
465,96.616,0,0.0,2,0,0,611320.0
466,131.3606,0,0.0,2,398,0,881188.2
467,118.6333,0,0.0,1,526,0,823310.0
468,82.4952,1,70.2324,1,312,0,722245.0
469,151.7986,0,0.0,2,866,0,1232500.0
470,77.2928,1,81.5662,2,506,0,921910.0
471,139.5358,0,0.0,1,528,0,1045160.0
472,107.8569,1,75.0632,2,534,0,936700.0
473,99.5888,0,0.0,1,525,0,729640.0
474,183.5704,0,0.0,2,908,0,2169200.0
475,153.4708,0,0.0,2,499,1,1237430.0
476,90.113,0,0.0,1,624,0,653225.0
477,138.6997,0,0.0,2,508,0,1029877.0
478,192.2101,1,53.3246,2,694,1,1873400.0
479,159.60219999999998,0,0.0,2,826,0,1464210.0
480,105.0699,0,0.0,1,672,0,441092.03
481,171.86499999999998,0,0.0,2,772,0,1607180.0
482,166.4768,0,0.0,2,874,1,1843820.0
483,85.0964,1,84.539,1,164,1,764150.0
484,112.9664,0,0.0,2,402,0,808520.0
485,92.8071,0,0.0,1,264,0,653225.0
486,103.3977,0,0.0,1,264,0,724710.0
487,99.6817,0,0.0,1,515,0,769080.0
488,137.8636,0,0.0,2,487,0,862750.0
489,164.0614,1,60.1992,2,520,0,788800.0
490,58.527,0,0.0,1,286,0,423980.0
491,57.2264,1,63.9152,1,336,0,566950.0
492,88.9982,1,57.598,1,240,0,655690.0
493,67.63119999999999,1,67.63119999999999,2,429,0,851830.0499999999
494,117.8901,0,0.0,1,308,0,764150.0
495,82.3094,0,0.0,1,273,0,450109.0
496,66.88799999999999,0,0.0,1,0,0,172057.0
498,105.2557,1,63.8223,2,240,0,907120.0
499,83.5171,0,0.0,1,288,0,640900.0
500,84.7248,0,0.0,1,297,0,591600.0
501,62.4288,1,50.7234,1,264,0,557090.0
502,80.45139999999999,1,83.7958,2,603,0,1117631.0
503,112.7806,0,0.0,1,461,0,690200.0
504,167.31289999999998,0,0.0,2,484,0,1424770.0
505,79.42949999999999,1,43.3843,2,440,0,724710.0
506,89.184,1,92.9,2,400,0,613785.0
507,98.9385,1,78.5934,2,471,0,1059950.0
508,113.1522,0,0.0,2,676,0,1026919.0
509,64.0081,1,64.0081,2,360,0,793730.0
510,96.7089,0,0.0,1,270,0,613785.0
511,126.6227,0,0.0,1,288,0,812957.0
512,127.0872,0,0.0,2,474,0,999138.45
513,80.26559999999999,0,0.0,1,624,0,640407.0
514,100.332,0,0.0,1,484,0,660620.0
515,73.29809999999999,0,0.0,1,200,0,475745.0
516,187.658,0,0.0,2,900,1,1986104.73
517,128.0162,1,68.8389,2,583,0,778940.0
518,118.6333,1,99.1243,2,889,0,1306450.0
519,81.9378,1,84.9106,2,546,0,1040230.0
520,118.5404,1,74.6916,1,282,0,1153620.0
521,64.4726,1,55.74,2,0,0,523812.5
522,115.5676,0,0.0,1,336,0,739500.0
523,93.2716,1,61.314,2,420,0,783870.0
525,128.48069999999998,1,94.2935,2,834,0,1556647.5
526,117.6114,0,0.0,2,453,0,867680.0
527,86.21119999999999,0,0.0,1,252,0,650760.0
528,137.1204,1,114.9173,2,858,1,2200066.73
529,56.2045,0,0.0,1,0,0,423980.0
531,140.18609999999998,0,0.0,2,600,0,862750.0
532,69.7679,1,56.7619,2,502,0,631040.0
533,76.8283,0,0.0,1,392,0,529975.0
534,31.0286,0,0.0,1,0,0,193749.0
535,65.6803,1,65.6803,2,403,0,877540.0
536,76.178,1,48.9583,1,0,0,529975.0
537,81.752,1,78.4076,2,527,0,926840.0
538,80.26559999999999,0,0.0,1,576,0,548462.5
539,107.6711,0,0.0,1,336,0,778940.0
540,148.7329,0,0.0,2,670,0,1340960.0
541,170.7502,0,0.0,2,765,1,1552950.0
542,92.6213,1,119.6552,2,648,0,1222640.0
543,156.072,0,0.0,2,583,0,1051322.5
544,71.2543,0,0.0,1,367,0,655690.0
545,61.6856,1,77.2928,2,426,0,885748.45
546,127.9233,1,74.8774,2,786,0,1128970.0
547,85.0035,1,66.88799999999999,1,440,0,1035300.0
548,71.3472,0,0.0,1,624,0,638435.0
549,76.6425,0,0.0,1,720,0,616250.0
550,84.7248,1,109.8078,2,615,0,1296590.0
551,99.3101,0,0.0,2,440,0,690200.0
552,86.21119999999999,0,0.0,1,288,0,554625.0
553,159.5093,0,0.0,2,908,0,1259615.0
554,104.6054,0,0.0,2,520,0,532440.0
555,93.4574,1,96.616,2,871,0,1400120.0
556,97.3592,0,0.0,1,280,0,557090.0
557,101.4468,0,0.0,1,299,0,695130.0
558,83.3313,1,40.7831,1,570,0,532440.0
559,67.72409999999999,1,66.60929999999999,2,406,0,862750.0
560,144.6453,0,0.0,2,420,0,1153620.0
561,129.3168,0,0.0,1,528,0,598995.0
